id,source,target,target_type,
292,Most Important Things in Creating Workplaces Three Years From Now,Region,3,
293,Tools Company Offers to Let Teams Collaborate Virtually,Region,3,
41,Shipment Growth by MSA Region by Year,Region,3,
152,Target Sales by MSA Region by Year,Region,3,
153,Target Sales by MSA Region by Segment by Year,Region,3,
40,Growth by MSA Region by Year,Region,3,
146,List of Top Customers by MSA Region,Region,3,
148,Top Potential Customers by MSA Region,Region,3,
149,Market Size by MSA Region by Year,Region,3,
150,Potential Sales by MSA Region by Year,Region,3,
151,Shipments by MSA Region by Year,Region,3,
174,Customer Address,Region,3,
144,Total Number of Online Accounts,Region,3,
32,Name of Product in Developent,Product Type,3,
221,Ranking of Seating Products to Each Work Setting,Product Type,3,
225,Spatial Recipe by Setting,Product Type,3,
7,Top Web Assets Downloaded from HermanMiller.com by Category,Product Line,3,
9,Top Brochures Shipped - Workstations,Product Line,3,
10,Top Brochures Shipped - Storage,Product Line,3,
223,Anticipated Landscape Types by Year to 2020,Product Line,3,
224,Anticipated Setting breakdown by Year to 2020,Product Line,3,
217,Suitability of Each Product Line to Each Setting,Product Line,3,
105,Customization Requests by Product Category,Product Line,3,
276,Product Family Sales by Region,Product Family,3,
277,Product Family Planned Sales by Region,Product Family,3,
278,Product Family Margin by Region,Product Family,3,
279,Product Family Planned Margin by Region,Product Family,3,
280,Product Family Discounts by Region,Product Family,3,
281,Product Family Planned Discounts by Region,Product Family,3,
126,HermanMiller.com Page Views,Product Family,3,
127,HermanMiller.com Page Views,Product Family,3,
206,Work Products by Pricepoint,Product Family,3,
11,Sales - Gross,Product,3,
12,Sales - % Change,Product,3,
13,Margin - Gross,Product,3,
14,Margin - % Change,Product,3,
15,Direct Opex - Gross,Product,3,
16,Direct Opex - % Change,Product,3,
17,Direct Op Income - Gross,Product,3,
18,Direct Op Income - % Change,Product,3,
19,Spend on Warranty - Gross,Product,3,
20,Spend on Warranty - % Change,Product,3,
21,Royalty - Gross,Product,3,
22,Royalty - % Change,Product,3,
23,Direct Op Income - Gross,Product,3,
24,Direct Op Income - % Change,Product,3,
45,Projected Total Investment Required for Project,Product,3,
46,Projected Gross Margin for Project,Product,3,
47,Projected 10 Year MVA for Project,Product,3,
48,Projected Total Sales Impact (5 Year Cumulative) for Project,Product,3,
49,Project Problem Statement,Product,3,
5,HermanMiller.com Page Views by Product,Product,3,
6,Number of Views for each Web Asset on HermanMiller.com by Associated Product,Product,3,
8,Top Brochures Shipped by Product,Product,3,
130,Page accessed first after HermanMiller.com home page,Product,3,
4,Most Searched Words on HermanMiller.com,Product,3,
125,Paid Search Criteria – Google Ad Words,Product,3,
220,Gross Margin for Product Line by Setting by Size,Product,3,
158,Dealer Discounting compared to average dealer discounting by MSA Region,Product,3,
39,Product Adjacencies - Seating Idea Starters by Living Office Setting,Product,3,
44,Customer Opportunity Products,Product,3,
180,Customer Opportunity Value,Product,3,
143,Self Service Usage,Product,3,
247,Sales by Year by MSA,MSA,3,
248,Planned Sales by Year by MSA,MSA,3,
249,Planned Market Share by Year by MSA,MSA,3,
250,Actual Market Share by Year by MSA,MSA,3,
251,Expected Market Share Growth by Year by MSA,MSA,3,
254,MSA Code - Unique Identifier,MSA,3,
259,Individual Assigned to MSA,MSA,3,
260,Number of Dealers by MSA,MSA,3,
165,Meeting Logs - People,Employee,3,
166,Meeting Logs - Scheduler,Employee,3,
169,Email Logs,Employee,3,
170,Documents Shared Externally,Employee,3,
60,Project Design Challenges,Employee,3,
62,Project Status - Project in Trouble,Employee,3,
63,Project Status - Project Stage,Employee,3,
186,Names of Teams Engaged in Project Design Process,Employee,3,
154,Number of Employees at each Customer,Employee,3,
155,Ranking of Each Customer Nationally,Employee,3,
176,Customer Number of Employees,Employee,3,
252,Customer Satisfaction Survey,Dealer,3,
253,Dealer Code - Unique Identiifier,Dealer,3,
256,Dealer Sales Volume,Dealer,3,
257,Dealer Potential Sales Volume,Dealer,3,
258,Dealer Sales Goal,Dealer,3,
207,Historic Transactional Information,Dealer,3,
142,Online Generated Leads,Customer Segment,3,
182,Customer Sales Region,Customer Segment,3,
37,Total Number of Online Sales,Customer Segment,3,
139,Customer Personas,Customer Segment,3,
140,Brand Awareness by Consumer Segments,Customer Segment,3,
141,Brand Sentiment by Consumer Segments,Customer Segment,3,
38,Performance Environments - Chair Occupancy,Customer,3,
145,Performance Environments - Room Occupancy,Customer,3,
96,Market Criteria,Customer,3,
97,Market Launch Plan (which Showrooms),Customer,3,
50,Customer Needs met by Project,Customer,3,
53,Project Key Market Based Product Criteria,Customer,3,
95,Market Opportunity Analysis,Customer,3,
208,Historic Sales by Sales Representative,Customer,3,
209,Historic Sales by Dealer,Customer,3,
41,Shipment Growth by MSA Region by Year,Time,3,
152,Target Sales by MSA Region by Year,Time,3,
153,Target Sales by MSA Region by Segment by Year,Time,3,
40,Growth by MSA Region by Year,Time,3,
149,Market Size by MSA Region by Year,Time,3,
150,Potential Sales by MSA Region by Year,Time,3,
151,Shipments by MSA Region by Year,Time,3,
144,Total Number of Online Accounts,Time,3,
180,Customer Opportunity Value,Time,3,
143,Self Service Usage,Time,3,
62,Project Status - Project in Trouble,Time,3,
63,Project Status - Project Stage,Time,3,
186,Names of Teams Engaged in Project Design Process,Time,3,
208,Historic Sales by Sales Representative,Sales Representative,3,
156,Potential Sales for Projected Per Customer,Region,3,
276,Product Family Sales by Region,Region,3,
277,Product Family Planned Sales by Region,Region,3,
278,Product Family Margin by Region,Region,3,
279,Product Family Planned Margin by Region,Region,3,
280,Product Family Discounts by Region,Region,3,
281,Product Family Planned Discounts by Region,Region,3,
155,Ranking of Each Customer Nationally,Region,3,
182,Customer Sales Region,Region,3,
37,Total Number of Online Sales,Region,3,
139,Customer Personas,Region,3,
140,Brand Awareness by Consumer Segments,Region,3,
141,Brand Sentiment by Consumer Segments,Region,3,
53,Project Key Market Based Product Criteria,Region,3,
29,Projected Year 4 Sales for Product in Development,Product Type,3,
30,Level of Innovation for Product in Development,Product Type,3,
31,Anticipated Buzz Level of Product in Development,Product Type,3,
132,Anticipated Launch Date for Product in Development,Product Type,3,
134,Projected Living Office Readiness,Product Type,3,
135,Dealer Living Office Readiness,Product Type,3,
36,Revenue Plan by Product,Product Type,3,
133,Status in HDP of Product,Product Type,3,
11,Sales - Gross,Product Type,3,
12,Sales - % Change,Product Type,3,
13,Margin - Gross,Product Type,3,
14,Margin - % Change,Product Type,3,
15,Direct Opex - Gross,Product Type,3,
16,Direct Opex - % Change,Product Type,3,
17,Direct Op Income - Gross,Product Type,3,
18,Direct Op Income - % Change,Product Type,3,
19,Spend on Warranty - Gross,Product Type,3,
20,Spend on Warranty - % Change,Product Type,3,
21,Royalty - Gross,Product Type,3,
22,Royalty - % Change,Product Type,3,
23,Direct Op Income - Gross,Product Type,3,
24,Direct Op Income - % Change,Product Type,3,
130,Page accessed first after HermanMiller.com home page,Product Type,3,
4,Most Searched Words on HermanMiller.com,Product Type,3,
125,Paid Search Criteria – Google Ad Words,Product Type,3,
38,Performance Environments - Chair Occupancy,Product Type,3,
145,Performance Environments - Room Occupancy,Product Type,3,
32,Name of Product in Developent,Product Line,3,
142,Online Generated Leads,Product Family,3,
157,Product Margin of Dealer Compared to Average Dealer by MSA Region,Product,3,
159,Sales vs Plan by MSA Region,Product,3,
33,Number of Engineers Assigned to Each Product,Employee,3,
34,Status of Each Task in Development Project,Employee,3,
35,Core Issues and Resolutions for Each Product,Employee,3,
259,Individual Assigned to MSA,Employee,3,
137,Website User Satisfaction,Customer Segment,3,
283,Job Title of Respondant,Customer Segment,3,
284,Region of Respondant,Customer Segment,3,
285,Company Size of Respondant,Customer Segment,3,
286,Aesthetic/Importance to Company of Respondant,Customer Segment,3,
287,Degree to Which Technology is Having an Impact on Respondant's Company,Customer Segment,3,
288,Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,Customer Segment,3,
289,Top Drivers of Change for Workplace Portfolio at Respondant's Company,Customer Segment,3,
290,Percent of Workplace Reconfigured Annually at Respondant's Company,Customer Segment,3,
291,Where Respondant Obtains Workplace Ideas,Customer Segment,3,
292,Most Important Things in Creating Workplaces Three Years From Now,Customer Segment,3,
293,Tools Company Offers to Let Teams Collaborate Virtually,Customer Segment,3,
97,Market Launch Plan (which Showrooms),Customer Segment,3,
95,Market Opportunity Analysis,Customer Segment,3,
282,Sales Per Year to End Customer,Customer,3,
266,Projected Size of Anticipated Customer Wins,Customer,3,
267,Notable Customer Wins,Customer,3,
268,Notable Customer Losses,Customer,3,
271,Current Non-Dealer Opportunity - Owner Name,Customer,3,
272,Current Non-Dealer Opportunity - Customer Name,Customer,3,
273,Current Non-Dealer Opportunity - Region,Customer,3,
274,Current Non-Dealer Opportunity - Stage,Customer,3,
275,Current Non-Dealer Opportunity - Win Probability,Customer,3,
105,Customization Requests by Product Category,Customer,3,
49,Project Problem Statement,Customer,3,
170,Documents Shared Externally,Customer,3,
207,Historic Transactional Information,Customer,3,
137,Website User Satisfaction,Region,3,
97,Market Launch Plan (which Showrooms),Region,3,
95,Market Opportunity Analysis,Region,3,
29,Projected Year 4 Sales for Product in Development,Product Line,3,
30,Level of Innovation for Product in Development,Product Line,3,
31,Anticipated Buzz Level of Product in Development,Product Line,3,
132,Anticipated Launch Date for Product in Development,Product Line,3,
134,Projected Living Office Readiness,Product Line,3,
135,Dealer Living Office Readiness,Product Line,3,
36,Revenue Plan by Product,Product Line,3,
133,Status in HDP of Product,Product Line,3,
11,Sales - Gross,Product Line,3,
12,Sales - % Change,Product Line,3,
13,Margin - Gross,Product Line,3,
14,Margin - % Change,Product Line,3,
15,Direct Opex - Gross,Product Line,3,
16,Direct Opex - % Change,Product Line,3,
17,Direct Op Income - Gross,Product Line,3,
18,Direct Op Income - % Change,Product Line,3,
19,Spend on Warranty - Gross,Product Line,3,
20,Spend on Warranty - % Change,Product Line,3,
21,Royalty - Gross,Product Line,3,
22,Royalty - % Change,Product Line,3,
23,Direct Op Income - Gross,Product Line,3,
24,Direct Op Income - % Change,Product Line,3,
130,Page accessed first after HermanMiller.com home page,Product Line,3,
4,Most Searched Words on HermanMiller.com,Product Line,3,
125,Paid Search Criteria – Google Ad Words,Product Line,3,
142,Online Generated Leads,Product Category,3,
40,Growth by MSA Region by Year,Product,3,
150,Potential Sales by MSA Region by Year,Product,3,
151,Shipments by MSA Region by Year,Product,3,
144,Total Number of Online Accounts,Product,3,
37,Total Number of Online Sales,Product,3,
140,Brand Awareness by Consumer Segments,Product,3,
141,Brand Sentiment by Consumer Segments,Product,3,
38,Performance Environments - Chair Occupancy,Product,3,
145,Performance Environments - Room Occupancy,Product,3,
271,Current Non-Dealer Opportunity - Owner Name,Employee,3,
272,Current Non-Dealer Opportunity - Customer Name,Employee,3,
273,Current Non-Dealer Opportunity - Region,Employee,3,
274,Current Non-Dealer Opportunity - Stage,Employee,3,
275,Current Non-Dealer Opportunity - Win Probability,Employee,3,
155,Ranking of Each Customer Nationally,Customer Segment,3,
53,Project Key Market Based Product Criteria,Customer Segment,3,
41,Shipment Growth by MSA Region by Year,Category,3,
152,Target Sales by MSA Region by Year,Category,3,
153,Target Sales by MSA Region by Segment by Year,Category,3,
